round,cum_reward_lincb,cum_reward_random,cum_reward_oracle
77,-62.363898946151096,-62.184297614823656,-51.60159391919365
78,-62.35051181286593,-62.21677830910265,-51.59879541419925
79,-61.85539615977292,-62.00707031504095,-51.15321552848767
80,-85.91217178773182,-85.91750743591277,-74.96136728687702
81,-85.88288960994423,-85.92765970521492,-74.98892581418487
82,-85.69712996653374,-85.87029997884048,-74.65575259476928
83,-109.70265879704755,-109.82122430856947,-98.41680349614829
84,-109.72314153424256,-109.83714823410199,-98.43232777577303
85,-109.68947154734681,-109.52170445354942,-98.00877154060144
86,-109.37695307693556,-109.41499229140145,-97.58551891894334
87,-109.36444355232318,-109.37470552642515,-97.58416942855528
88,-108.92242168670941,-109.27235867057094,-97.18481417976804
89,-109.03687474955606,-109.20073457469832,-97.25831492062846
90,-108.97968704739571,-109.11533222062032,-97.1397417780023
91,-108.89236867061611,-108.99240842041883,-96.57435431861452
92,-108.85633001815908,-108.83928350896092,-96.49962254429637
93,-108.87270635484774,-108.41782657473165,-96.23186268968173
94,-108.72562957608416,-108.33973933753232,-95.85540065227434
95,-108.85327613815338,-108.35801624953072,-95.43192035626906
96,-108.78549424521313,-108.32211132211813,-95.35311206379654
97,-108.47573634233868,-108.1340227642823,-94.9453916063866
98,-108.0147381161491,-108.01424723539635,-94.55090327519166
99,-107.95348958378406,-107.97991169873731,-94.08408456423811
100,-107.97783047450206,-108.00358300837233,-94.03606184190811
101,-108.00680624438921,-108.01025305126691,-93.88506139588729
102,-107.92663874761503,-107.91802111391814,-93.53574446993191
103,-107.8264445982117,-107.77492598526845,-93.09702419209967
104,-107.73132812684906,-107.81272926005191,-92.70104502010588
105,-107.66564833058662,-107.71753661405235,-92.35321071331347
106,-107.24112094983454,-107.63393999121647,-92.00984309343089
107,-107.19641424676857,-107.52376270756633,-91.65469241049354
108,-106.90435278194155,-107.17978628410083,-91.30937583374603
109,-106.66416831198138,-107.12345337885517,-90.85868229643486
110,-106.59400967083762,-106.86480324608388,-90.558145334802
111,-106.5785175576292,-106.51671227778317,-90.13033126436548
112,-106.61740839200874,-106.45560211047277,-90.23861887114124
113,-83.74529030604796,-83.676020216275,-67.0052509316714
114,-60.85873857314226,-60.66071281361616,-43.650807906714505
115,-60.7962483071717,-60.63969658425693,-43.73504264402142
116,-60.84127495143106,-60.72275697143178,-43.64637972587971
117,-60.70972222580192,-60.32478898421144,-43.319027944889605
118,-60.65004184320477,-60.3348270224128,-42.86954968231676
119,-60.49086791119931,-60.22208123405637,-42.42226463248845
120,-60.492415823731136,-60.10815729764695,-42.561036272499976
121,-60.30187382269035,-59.99176440930712,-42.0390381001703
122,-60.31007298950798,-60.055472492580705,-41.53580757388519
123,-59.86387015021188,-59.63472477772956,-41.13752548691862
